standard,aligned,buildable,tier,dokCeiling,distractorRationale,dokRationale,translation,explanationRewrite,choiceRebalance,totalAuthoringUnits
US.01,0,False,none,,0,0,0,0,0,0
US.02,4,False,none,,0,0,0,0,0,0
US.03,0,False,none,,0,0,0,0,0,0
US.04,26,True,selected-response,3,18,4,4,0,6,32
US.05,10,True,selected-response,3,18,0,11,3,6,38
US.06,12,True,selected-response,3,18,5,6,1,0,30
US.07,4,False,none,,0,0,0,0,0,0
US.08,43,True,extended-dok3,3,15,3,6,3,5,32
US.09,23,True,selected-response,3,18,1,10,3,0,32
US.10,3,False,none,,0,0,0,0,0,0
US.11,31,True,selected-response,3,18,6,4,0,6,34
US.12,13,True,selected-response,3,18,3,7,3,6,37
US.13,0,False,none,,0,0,0,0,0,0
US.14,13,True,extended,4,15,4,4,1,5,29
US.15,1,False,none,,0,0,0,0,0,0
US.16,35,True,extended,4,15,4,4,0,5,28
US.17,17,True,selected-response,3,18,6,3,0,0,27
US.18,50,True,extended,4,15,5,4,0,5,29
US.19,16,True,selected-response,3,18,6,4,0,6,34
US.20,38,True,extended-dok3,3,15,6,7,0,5,33
US.21,0,False,none,,0,0,0,0,0,0
US.22,0,False,none,,0,0,0,0,0,0
US.23,66,True,full,4,0,0,0,0,0,0
US.24,0,False,none,,0,0,0,0,0,0
US.25,26,True,extended,4,15,5,3,0,0,23
US.26,14,True,full,4,12,4,4,0,4,24
US.27,22,True,full,4,12,4,4,0,4,24
US.28,30,True,extended,4,15,5,0,0,5,25
US.29,60,True,extended,4,15,5,6,0,5,31
US.30,35,True,selected-response,3,18,5,8,1,6,38
US.31,0,False,none,,0,0,0,0,0,0
US.32,18,True,selected-response,3,18,6,1,0,6,31
US.33,0,False,none,,0,0,0,0,0,0
US.34,0,False,none,,0,0,0,0,0,0
US.35,45,True,extended,4,15,5,2,0,5,27
US.36,0,False,none,,0,0,0,0,0,0
US.37,17,True,selected-response,3,18,6,3,0,6,33
US.38,33,True,full,4,12,2,4,2,4,24
US.39,7,True,selected-response,3,18,6,6,0,6,36
US.40,0,False,none,,0,0,0,0,0,0
US.41,28,True,extended,4,15,5,9,0,5,34
US.42,42,True,extended-dok3,3,15,6,6,0,5,32
US.43,19,True,extended,4,15,5,6,0,5,31
US.44,17,True,selected-response,3,18,6,5,0,6,35
US.45,56,True,extended,4,15,5,8,0,5,33
US.46,86,True,full,4,0,0,2,0,0,2
US.47,9,False,none,,0,0,0,0,0,0
US.48,41,True,full,4,12,5,4,0,4,25
US.49,14,False,none,,0,0,0,0,0,0
US.50,8,False,none,,0,0,0,0,0,0
US.51,12,True,extended,4,15,5,2,0,5,27
US.52,17,False,none,,0,0,0,0,0,0
US.53,2,False,none,,0,0,0,0,0,0
US.54,18,True,selected-response,3,18,6,6,0,0,30
US.55,2,False,none,,0,0,0,0,0,0
US.56,22,True,selected-response,3,18,6,5,0,6,35
US.57,0,False,none,,0,0,0,0,0,0
US.58,26,True,selected-response,3,18,6,4,0,6,34
US.59,42,True,full,4,12,5,0,0,4,21
US.60,65,True,full,4,0,0,0,0,0,0
US.61,29,True,selected-response,3,18,6,2,0,6,32
US.62,17,True,extended,4,15,5,0,0,5,25
US.63,24,True,extended,4,15,5,2,0,5,27
US.64,6,False,none,,0,0,0,0,0,0
US.65,0,False,none,,0,0,0,0,0,0
US.66,14,True,extended,4,15,5,5,0,5,30
US.67,0,False,none,,0,0,0,0,0,0
US.68,17,True,selected-response,3,18,6,4,0,6,34
US.69,0,False,none,,0,0,0,0,0,0
US.70,21,True,extended,4,15,5,3,0,5,28
US.71,0,False,none,,0,0,0,0,0,0
US.72,6,False,none,,0,0,0,0,0,0
US.73,29,True,selected-response,3,18,6,5,0,6,35
US.74,35,True,extended,4,15,5,7,0,5,32
US.75,0,False,none,,0,0,0,0,0,0
US.76,68,True,extended,4,15,5,7,0,5,32
US.77,3,False,none,,0,0,0,0,0,0
US.78,100,True,extended,4,15,5,1,0,5,26
US.79,49,True,extended-dok3,3,15,5,0,0,5,25
US.80,31,True,extended,4,15,5,3,0,5,28
US.81,11,True,extended-dok3,3,15,6,0,0,5,26
US.82,2,False,none,,0,0,0,0,0,0
US.83,7,False,none,,0,0,0,0,0,0
US.84,27,True,selected-response,3,18,6,2,0,6,32
US.85,13,True,selected-response,3,18,6,6,0,6,36
US.86,24,True,extended-dok3,3,15,6,0,0,5,26
US.87,1,False,none,,0,0,0,0,0,0
US.88,17,True,extended,4,15,5,5,0,5,30
US.89,0,False,none,,0,0,0,0,0,0
US.90,34,True,full,4,12,4,5,0,4,25
US.91,1,False,none,,0,0,0,0,0,0
US.92,17,True,selected-response,3,18,6,5,0,6,35
US.93,0,False,none,,0,0,0,0,0,0
US.94,5,False,none,,0,0,0,0,0,0
